year,team,seed,adj_em,adj_o,adj_d,tempo,sos,barthag,wab,elite_sos,ncsos,conf_winpct
2011,Marquette,11,17.38,115.18,97.8,166.0,0.6988,0.86774,0.59,0.6486,0.4551,0.5
2011,Memphis,12,7.49,104.78,97.29,5.0,0.5785,0.701158,0.07,0.7999,0.469,0.625
2011,Michigan,8,18.0,112.83,94.82,171.0,0.7349,0.880724,1.62,0.6248,0.5171,0.5
2011,Michigan State,10,13.96,109.18,95.22,49.0,0.7689,0.828208,1.97,0.6008,0.6122,0.5
2011,Missouri,11,15.43,113.72,98.29,113.0,0.6436,0.842447,1.32,0.7229,0.4569,0.5
2011,Morehead State,13,5.25,105.08,99.84,81.0,0.4435,0.643131,-3.43,0.8446,0.5468,0.7222
2011,North Carolina,2,22.02,112.69,90.67,28.0,0.7424,0.924157,7.29,0.6545,0.634,0.875
2011,Northern Colorado,15,3.27,105.92,102.66,111.0,0.4497,0.589121,-4.46,0.8487,0.5401,0.8125
2011,Notre Dame,2,25.03,123.13,98.11,54.0,0.7064,0.931681,7.66,0.6703,0.4945,0.7778
2011,Oakland,13,12.76,117.86,105.1,66.0,0.5463,0.788817,0.37,0.7702,0.7426,0.9444
2011,Ohio State,1,34.12,125.96,91.84,74.0,0.7005,0.97424,11.69,0.6841,0.466,0.8889
2011,Old Dominion,9,13.58,109.93,96.35,29.0,0.5621,0.820056,2.36,0.8156,0.5869,0.7778
2011,Penn State,10,15.16,113.12,97.96,105.0,0.7594,0.839531,1.47,0.626,0.5381,0.5
2011,Pittsburgh,1,25.68,119.76,94.08,101.0,0.6849,0.941311,7.49,0.706,0.4924,0.8333
2011,Princeton,13,8.6,107.23,98.63,21.0,0.4805,0.7234,-0.11,0.8469,0.4908,0.8571
2011,Purdue,3,23.15,115.19,92.04,89.0,0.7246,0.929585,6.98,0.6659,0.5613,0.7778
2011,Richmond,12,14.68,112.31,97.63,33.0,0.5824,0.833481,1.83,0.7953,0.5411,0.8125
2011,Saint Peter's,14,2.74,94.93,92.19,71.0,0.5091,0.583543,-5.74,0.8366,0.581,0.6111
2011,San Diego State,2,22.79,113.72,90.93,8.0,0.6665,0.929025,8.74,0.7443,0.6062,0.875
2011,St. John's,6,17.25,112.19,94.95,99.0,0.7332,0.872105,3.08,0.6542,0.5732,0.6667
2011,Syracuse,3,21.76,114.97,93.21,82.0,0.7177,0.917815,5.99,0.688,0.5434,0.6667
2011,Temple,7,15.66,110.22,94.56,60.0,0.6016,0.853438,2.19,0.7751,0.6271,0.875
2011,Tennessee,9,14.0,109.34,95.34,241.0,0.7152,0.828589,-1.06,0.6987,0.6602,0.5
2011,Texas,4,25.44,115.46,90.02,242.0,0.6703,0.945966,5.41,0.7148,0.5545,0.8125
2011,Texas A&M,7,12.83,108.82,95.99,18.0,0.6284,0.808853,2.41,0.7406,0.4132,0.625
2011,UC Santa Barbara,15,1.98,102.68,100.7,157.0,0.5109,0.555772,-6.68,0.8334,0.6337,0.5
2011,UCLA,7,14.65,109.21,94.56,83.0,0.677,0.839767,1.31,0.7243,0.5461,0.7222
