year,round,game_id,team1,seed1,team2,seed2,winner,score1,score2
2016,round_of_32,2016_round_of_32_388,Maryland,5,Hawaii,13,Maryland,73,60
2016,round_of_32,2016_round_of_32_389,Wichita State,11,Miami (FL),3,Miami (FL),57,65
2016,round_of_32,2016_round_of_32_390,Iowa,7,Villanova,2,Villanova,68,87
2016,sweet_16,2016_sweet_16_391,Maryland,5,Kansas,1,Kansas,63,79
2016,sweet_16,2016_sweet_16_392,Miami (FL),3,Villanova,2,Villanova,69,92
2016,elite_8,2016_elite_8_393,Villanova,2,Kansas,1,Villanova,64,59
2016,round_of_64,2016_round_of_64_394,Holy Cross,16,Oregon,1,Oregon,52,91
2016,round_of_64,2016_round_of_64_395,Saint Joseph's,8,Cincinnati,9,Saint Joseph's,78,76
2016,round_of_64,2016_round_of_64_396,Yale,12,Baylor,5,Yale,79,75
2016,round_of_64,2016_round_of_64_397,Duke,4,UNC Wilmington,13,Duke,93,85
2016,round_of_64,2016_round_of_64_398,Texas,6,Northern Iowa,11,Northern Iowa,72,75
2016,round_of_64,2016_round_of_64_399,Green Bay,14,Texas A&M,3,Texas A&M,65,92
2016,round_of_64,2016_round_of_64_400,VCU,10,Oregon State,7,VCU,75,67
2016,round_of_64,2016_round_of_64_401,Oklahoma,2,Cal State Bakersfield,15,Oklahoma,82,68
2016,round_of_32,2016_round_of_32_402,Oregon,1,Saint Joseph's,8,Oregon,69,64
2016,round_of_32,2016_round_of_32_403,Duke,4,Yale,12,Duke,71,64
2016,round_of_32,2016_round_of_32_404,Northern Iowa,11,Texas A&M,3,Texas A&M,88,92
2016,round_of_32,2016_round_of_32_405,VCU,10,Oklahoma,2,Oklahoma,81,85
2016,sweet_16,2016_sweet_16_406,Oregon,1,Duke,4,Oregon,82,68
2016,sweet_16,2016_sweet_16_407,Oklahoma,2,Texas A&M,3,Oklahoma,77,63
2016,elite_8,2016_elite_8_408,Oregon,1,Oklahoma,2,Oklahoma,68,80
2016,round_of_64,2016_round_of_64_409,Florida Gulf Coast,16,North Carolina,1,North Carolina,67,83
2016,round_of_64,2016_round_of_64_410,Providence,9,USC,8,Providence,70,69
2016,round_of_64,2016_round_of_64_411,Chattanooga,12,Indiana,5,Indiana,74,99
2016,round_of_64,2016_round_of_64_412,Stony Brook,13,Kentucky,4,Kentucky,57,85
2016,round_of_64,2016_round_of_64_413,Michigan,11,Notre Dame,6,Notre Dame,63,70
2016,round_of_64,2016_round_of_64_414,Stephen F. Austin,14,West Virginia,3,Stephen F. Austin,70,56
2016,round_of_64,2016_round_of_64_415,Wisconsin,7,Pittsburgh,10,Wisconsin,47,43
2016,round_of_64,2016_round_of_64_416,Xavier,2,Weber State,15,Xavier,71,53
2016,round_of_32,2016_round_of_32_417,North Carolina,1,Providence,9,North Carolina,85,66
2016,round_of_32,2016_round_of_32_418,Indiana,5,Kentucky,4,Indiana,73,67
2016,round_of_32,2016_round_of_32_419,Stephen F. Austin,14,Notre Dame,6,Notre Dame,75,76
2016,round_of_32,2016_round_of_32_420,Wisconsin,7,Xavier,2,Wisconsin,66,63
2016,sweet_16,2016_sweet_16_421,North Carolina,1,Indiana,5,North Carolina,101,86
2016,sweet_16,2016_sweet_16_422,Wisconsin,7,Notre Dame,6,Notre Dame,56,61
2016,elite_8,2016_elite_8_423,North Carolina,1,Notre Dame,6,North Carolina,88,74
2016,round_of_64,2016_round_of_64_424,Hampton,16,Virginia,1,Virginia,45,81
2016,round_of_64,2016_round_of_64_425,Butler,9,Texas Tech,8,Butler,71,61
2016,round_of_64,2016_round_of_64_426,Little Rock,12,Purdue,5,Little Rock,85,83
2016,round_of_64,2016_round_of_64_427,Iona,13,Iowa State,4,Iowa State,81,94
2016,round_of_64,2016_round_of_64_428,Gonzaga,11,Seton Hall,6,Gonzaga,68,52
2016,round_of_64,2016_round_of_64_429,Fresno State,14,Utah,3,Utah,69,80
2016,round_of_64,2016_round_of_64_430,Dayton,7,Syracuse,10,Syracuse,51,70
2016,round_of_64,2016_round_of_64_431,Middle Tennessee,15,Michigan State,2,Middle Tennessee,90,81
2016,round_of_32,2016_round_of_32_432,Virginia,1,Butler,9,Virginia,77,69
2016,round_of_32,2016_round_of_32_433,Iowa State,4,Little Rock,12,Iowa State,78,61
2016,round_of_32,2016_round_of_32_434,Utah,3,Gonzaga,11,Gonzaga,59,82
2016,round_of_32,2016_round_of_32_435,Middle Tennessee,15,Syracuse,10,Syracuse,50,75
2016,sweet_16,2016_sweet_16_436,Virginia,1,Iowa State,4,Virginia,84,71
2016,sweet_16,2016_sweet_16_437,Syracuse,10,Gonzaga,11,Syracuse,63,60
2016,elite_8,2016_elite_8_438,Virginia,1,Syracuse,10,Syracuse,62,68
2016,final_four,2016_final_four_439,Villanova,2,Oklahoma,2,Villanova,95,51
2016,final_four,2016_final_four_440,Syracuse,10,North Carolina,1,North Carolina,66,83
2016,championship,2016_championship_441,North Carolina,1,Villanova,2,Villanova,74,77
2017,round_of_64,2017_round_of_64_442,Mount St. Mary's,16,Villanova,1,Villanova,56,76
2017,round_of_64,2017_round_of_64_443,Virginia Tech,9,Wisconsin,8,Wisconsin,74,84
2017,round_of_64,2017_round_of_64_444,UNC Wilmington,12,Virginia,5,Virginia,71,76
2017,round_of_64,2017_round_of_64_445,East Tennessee State,13,Florida,4,Florida,65,80
2017,round_of_64,2017_round_of_64_446,SMU,6,USC,11,USC,65,66
2017,round_of_64,2017_round_of_64_447,New Mexico State,14,Baylor,3,Baylor,73,91
2017,round_of_64,2017_round_of_64_448,Marquette,10,South Carolina,7,South Carolina,73,93
2017,round_of_64,2017_round_of_64_449,Troy,15,Duke,2,Duke,65,87
2017,round_of_32,2017_round_of_32_450,Villanova,1,Wisconsin,8,Wisconsin,62,65
2017,round_of_32,2017_round_of_32_451,Virginia,5,Florida,4,Florida,39,65
2017,round_of_32,2017_round_of_32_452,USC,11,Baylor,3,Baylor,78,82
2017,round_of_32,2017_round_of_32_453,South Carolina,7,Duke,2,South Carolina,88,81
2017,sweet_16,2017_sweet_16_454,Florida,4,Wisconsin,8,Florida,84,83
2017,sweet_16,2017_sweet_16_455,South Carolina,7,Baylor,3,South Carolina,70,50
2017,elite_8,2017_elite_8_456,Florida,4,South Carolina,7,South Carolina,70,77
2017,round_of_64,2017_round_of_64_457,South Dakota State,16,Gonzaga,1,Gonzaga,46,66
2017,round_of_64,2017_round_of_64_458,Vanderbilt,9,Northwestern,8,Northwestern,66,68
