year,round,region,seed_1,team_1,score_1,seed_2,team_2,score_2,winner
2024,R64,Region_1,4,Auburn,76.0,13,Yale,78.0,Yale
2024,R64,Region_1,6,BYU,67.0,11,Duquesne,71.0,Duquesne
2024,R64,Region_1,3,Illinois,85.0,14,Morehead State,69.0,Illinois
2024,R64,Region_1,7,Washington State,66.0,10,Drake,61.0,Washington State
2024,R64,Region_1,2,Iowa State,82.0,15,South Dakota State,65.0,Iowa State
2024,R32,Region_1,1,UConn,75.0,9,Northwestern,58.0,UConn
2024,R32,Region_1,5,San Diego State,85.0,13,Yale,57.0,San Diego State
2024,R32,Region_1,11,Duquesne,63.0,3,Illinois,89.0,Illinois
2024,R32,Region_1,7,Washington State,56.0,2,Iowa State,67.0,Iowa State
2024,S16,Region_1,1,UConn,82.0,5,San Diego State,52.0,UConn
2024,S16,Region_1,3,Illinois,72.0,2,Iowa State,69.0,Illinois
2024,E8,Region_1,1,UConn,77.0,3,Illinois,52.0,UConn
2024,R64,Region_2,1,Purdue,78.0,16,Grambling,50.0,Purdue
2024,R64,Region_2,8,Utah State,88.0,9,TCU,72.0,Utah State
2024,R64,Region_2,5,Gonzaga,86.0,12,McNeese State,65.0,Gonzaga
2024,R64,Region_2,4,Kansas,93.0,13,Samford,89.0,Kansas
2024,R64,Region_2,6,South Carolina,73.0,11,Oregon,87.0,Oregon
2024,R64,Region_2,3,Creighton,77.0,14,Akron,60.0,Creighton
2024,R64,Region_2,7,Texas,56.0,10,Colorado State,44.0,Texas
2024,R64,Region_2,2,Tennessee,83.0,15,St. Peter's,49.0,Tennessee
2024,R32,Region_2,1,Purdue,106.0,8,Utah State,67.0,Purdue
2024,R32,Region_2,5,Gonzaga,89.0,4,Kansas,68.0,Gonzaga
2024,R32,Region_2,11,Oregon,73.0,3,Creighton,86.0,Creighton
2024,R32,Region_2,7,Texas,58.0,2,Tennessee,62.0,Tennessee
2024,S16,Region_2,1,Purdue,80.0,5,Gonzaga,68.0,Purdue
2024,S16,Region_2,3,Creighton,75.0,2,Tennessee,82.0,Tennessee
2024,E8,Region_2,1,Purdue,72.0,2,Tennessee,66.0,Purdue
2024,R64,Region_3,1,Houston,86.0,16,Longwood,46.0,Houston
2024,R64,Region_3,8,Nebraska,83.0,9,Texas A&M,98.0,Texas A&M
2024,R64,Region_3,5,Wisconsin,61.0,12,James Madison,72.0,James Madison
2024,R64,Region_3,4,Duke,64.0,13,Vermont,47.0,Duke
2024,R64,Region_3,6,Texas Tech,67.0,11,NC State,80.0,NC State
2024,R64,Region_3,3,Kentucky,76.0,14,Oakland,80.0,Oakland
2024,R64,Region_3,7,Florida,100.0,10,Colorado,102.0,Colorado
2024,R64,Region_3,2,Marquette,87.0,15,Western Kentucky,69.0,Marquette
2024,R32,Region_3,1,Houston,100.0,9,Texas A&M,95.0,Houston
2024,R32,Region_3,12,James Madison,55.0,4,Duke,93.0,Duke
2024,R32,Region_3,11,NC State,79.0,14,Oakland,73.0,NC State
2024,R32,Region_3,10,Colorado,77.0,2,Marquette,81.0,Marquette
2024,S16,Region_3,1,Houston,51.0,4,Duke,54.0,Duke
2024,S16,Region_3,11,NC State,67.0,2,Marquette,58.0,NC State
2024,E8,Region_3,4,Duke,64.0,11,NC State,76.0,NC State
2024,R64,Region_4,1,UNC,90.0,16,Wagner,62.0,UNC
2024,R64,Region_4,8,Mississippi State,51.0,9,Michigan State,69.0,Michigan State
2024,R64,Region_4,5,Saint Mary's,66.0,12,Grand Canyon,75.0,Grand Canyon
2024,R64,Region_4,4,Alabama,109.0,13,College of Charleston,96.0,Alabama
2024,R64,Region_4,6,Clemson,77.0,11,New Mexico,56.0,Clemson
2024,R64,Region_4,3,Baylor,92.0,14,Colgate,67.0,Baylor
2024,R64,Region_4,7,Dayton,63.0,10,Nevada,60.0,Dayton
2024,R64,Region_4,2,Arizona,85.0,15,Long Beach State,65.0,Arizona
2024,R32,Region_4,1,UNC,85.0,9,Michigan State,69.0,UNC
2024,R32,Region_4,12,Grand Canyon,61.0,4,Alabama,72.0,Alabama
2024,R32,Region_4,6,Clemson,72.0,3,Baylor,64.0,Clemson
2024,R32,Region_4,7,Dayton,68.0,2,Arizona,78.0,Arizona
2024,S16,Region_4,1,UNC,87.0,4,Alabama,89.0,Alabama
2024,S16,Region_4,6,Clemson,77.0,2,Arizona,72.0,Clemson
2024,E8,Region_4,4,Alabama,89.0,6,Clemson,82.0,Alabama
2024,F4,Final Four,1,UConn,86.0,4,Alabama,72.0,UConn
2024,F4,Final Four,1,Purdue,63.0,11,NC State,50.0,Purdue
2024,Championship,Final Four,1,UConn,75.0,1,Purdue,60.0,UConn
